date,property_id,occupancy_rate,available_rooms,occupied_rooms,average_nightly_rate,day_of_week,season,is_holiday
2022-01-05,PROP009,0.509,14,15,246.69,Wednesday,Winter,False
2022-01-05,PROP010,0.246,22,7,237.39,Wednesday,Winter,False
2022-01-06,PROP001,0.372,18,11,238.8,Thursday,Winter,False
2022-01-06,PROP002,0.403,17,12,246.09,Thursday,Winter,False
2022-01-06,PROP003,0.497,15,14,231.06,Thursday,Winter,False
2022-01-06,PROP004,0.348,19,10,252.99,Thursday,Winter,False
2022-01-06,PROP005,0.342,19,10,253.26,Thursday,Winter,False
2022-01-06,PROP006,0.555,13,16,230.97,Thursday,Winter,False
2022-01-06,PROP007,0.273,21,8,240.63,Thursday,Winter,False
2022-01-06,PROP008,0.509,14,15,264.78,Thursday,Winter,False
2022-01-06,PROP009,0.421,17,12,246.69,Thursday,Winter,False
2022-01-06,PROP010,0.637,10,19,237.39,Thursday,Winter,False
2022-01-07,PROP001,0.578,12,17,238.8,Friday,Winter,False
2022-01-07,PROP002,0.635,10,19,246.09,Friday,Winter,False
2022-01-07,PROP003,0.54,13,16,231.06,Friday,Winter,False
2022-01-07,PROP004,0.523,14,15,252.99,Friday,Winter,False
2022-01-07,PROP005,0.642,10,19,253.26,Friday,Winter,False
2022-01-07,PROP006,0.462,16,13,230.97,Friday,Winter,False
2022-01-07,PROP007,0.366,19,10,240.63,Friday,Winter,False
2022-01-07,PROP008,0.495,15,14,264.78,Friday,Winter,False
2022-01-07,PROP009,0.629,11,18,246.69,Friday,Winter,False
2022-01-07,PROP010,0.442,16,13,237.39,Friday,Winter,False
2022-01-08,PROP001,0.457,16,13,238.8,Saturday,Winter,True
2022-01-08,PROP002,0.629,11,18,246.09,Saturday,Winter,True
2022-01-08,PROP003,0.56,13,16,231.06,Saturday,Winter,True
2022-01-08,PROP004,0.229,23,6,252.99,Saturday,Winter,True
2022-01-08,PROP005,0.63,11,18,253.26,Saturday,Winter,True
2022-01-08,PROP006,0.588,12,17,230.97,Saturday,Winter,True
2022-01-08,PROP007,0.618,11,18,240.63,Saturday,Winter,True
2022-01-08,PROP008,0.58,12,17,264.78,Saturday,Winter,True
2022-01-08,PROP009,0.637,10,19,246.69,Saturday,Winter,True
2022-01-08,PROP010,0.508,14,15,237.39,Saturday,Winter,True
2022-01-09,PROP001,0.64,10,19,238.8,Sunday,Winter,True
2022-01-09,PROP002,0.625,11,18,246.09,Sunday,Winter,True
2022-01-09,PROP003,0.666,10,19,231.06,Sunday,Winter,True
2022-01-09,PROP004,0.453,16,13,252.99,Sunday,Winter,True
2022-01-09,PROP005,0.618,11,18,253.26,Sunday,Winter,True
2022-01-09,PROP006,0.521,14,15,230.97,Sunday,Winter,True
2022-01-09,PROP007,0.636,10,19,240.63,Sunday,Winter,True
2022-01-09,PROP008,0.506,14,15,264.78,Sunday,Winter,True
2022-01-09,PROP009,0.645,10,19,246.69,Sunday,Winter,True
2022-01-09,PROP010,0.714,8,21,237.39,Sunday,Winter,True
2022-01-10,PROP001,0.489,15,14,238.8,Monday,Winter,False
2022-01-10,PROP002,0.391,18,11,246.09,Monday,Winter,False
2022-01-10,PROP003,0.562,13,16,231.06,Monday,Winter,False
2022-01-10,PROP004,0.335,19,10,252.99,Monday,Winter,False
2022-01-10,PROP005,0.573,12,17,253.26,Monday,Winter,False
2022-01-10,PROP006,0.629,11,18,230.97,Monday,Winter,False
2022-01-10,PROP007,0.618,11,18,240.63,Monday,Winter,False
2022-01-10,PROP008,0.561,13,16,264.78,Monday,Winter,False
2022-01-10,PROP009,0.592,12,17,246.69,Monday,Winter,False
2022-01-10,PROP010,0.473,15,14,237.39,Monday,Winter,False
2022-01-11,PROP001,0.598,12,17,238.8,Tuesday,Winter,False
2022-01-11,PROP002,0.542,13,16,246.09,Tuesday,Winter,False
2022-01-11,PROP003,0.601,11,18,231.06,Tuesday,Winter,False
2022-01-11,PROP004,0.436,16,13,252.99,Tuesday,Winter,False
2022-01-11,PROP005,0.537,13,16,253.26,Tuesday,Winter,False
2022-01-11,PROP006,0.594,12,17,230.97,Tuesday,Winter,False
2022-01-11,PROP007,0.576,12,17,240.63,Tuesday,Winter,False
2022-01-11,PROP008,0.413,17,12,264.78,Tuesday,Winter,False
2022-01-11,PROP009,0.566,13,16,246.69,Tuesday,Winter,False
2022-01-11,PROP010,0.508,14,15,237.39,Tuesday,Winter,False
2022-01-12,PROP001,0.618,11,18,238.8,Wednesday,Winter,False
2022-01-12,PROP002,0.434,16,13,246.09,Wednesday,Winter,False
2022-01-12,PROP003,0.43,17,12,231.06,Wednesday,Winter,False
2022-01-12,PROP004,0.56,13,16,252.99,Wednesday,Winter,False
2022-01-12,PROP005,0.562,13,16,253.26,Wednesday,Winter,False
2022-01-12,PROP006,0.446,16,13,230.97,Wednesday,Winter,False
2022-01-12,PROP007,0.392,18,11,240.63,Wednesday,Winter,False
2022-01-12,PROP008,0.385,18,11,264.78,Wednesday,Winter,False
2022-01-12,PROP009,0.623,11,18,246.69,Wednesday,Winter,False
2022-01-12,PROP010,0.646,10,19,237.39,Wednesday,Winter,False
2022-01-13,PROP001,0.58,12,17,238.8,Thursday,Winter,False
2022-01-13,PROP002,0.403,17,12,246.09,Thursday,Winter,False
2022-01-13,PROP003,0.533,14,15,231.06,Thursday,Winter,False
2022-01-13,PROP004,0.497,15,14,252.99,Thursday,Winter,False
2022-01-13,PROP005,0.575,12,17,253.26,Thursday,Winter,False
2022-01-13,PROP006,0.506,14,15,230.97,Thursday,Winter,False
2022-01-13,PROP007,0.559,13,16,240.63,Thursday,Winter,False
2022-01-13,PROP008,0.615,11,18,264.78,Thursday,Winter,False
2022-01-13,PROP009,0.555,13,16,246.69,Thursday,Winter,False
2022-01-13,PROP010,0.432,17,12,237.39,Thursday,Winter,False
2022-01-14,PROP001,0.697,9,20,238.8,Friday,Winter,False
2022-01-14,PROP002,0.313,20,9,246.09,Friday,Winter,False
2022-01-14,PROP003,0.618,11,18,231.06,Friday,Winter,False
2022-01-14,PROP004,0.438,16,13,252.99,Friday,Winter,False
2022-01-14,PROP005,0.341,19,10,253.26,Friday,Winter,False
2022-01-14,PROP006,0.423,17,12,230.97,Friday,Winter,False
2022-01-14,PROP007,0.559,13,16,240.63,Friday,Winter,False
2022-01-14,PROP008,0.611,11,18,264.78,Friday,Winter,False
2022-01-14,PROP009,0.387,18,11,246.69,Friday,Winter,False
2022-01-14,PROP010,0.541,13,16,237.39,Friday,Winter,False
2022-01-15,PROP001,0.603,11,18,238.8,Saturday,Winter,True
2022-01-15,PROP002,0.382,18,11,246.09,Saturday,Winter,True
2022-01-15,PROP003,0.715,8,21,231.06,Saturday,Winter,True
2022-01-15,PROP004,0.686,9,20,252.99,Saturday,Winter,True
2022-01-15,PROP005,0.605,11,18,253.26,Saturday,Winter,True
2022-01-15,PROP006,0.659,10,19,230.97,Saturday,Winter,True
2022-01-15,PROP007,0.551,13,16,240.63,Saturday,Winter,True
2022-01-15,PROP008,0.615,11,18,264.78,Saturday,Winter,True
2022-01-15,PROP009,0.645,10,19,246.69,Saturday,Winter,True
2022-01-15,PROP010,0.615,11,18,237.39,Saturday,Winter,True
2022-01-16,PROP001,0.624,11,18,238.8,Sunday,Winter,True
2022-01-16,PROP002,0.417,17,12,246.09,Sunday,Winter,True
2022-01-16,PROP003,0.391,18,11,231.06,Sunday,Winter,True
2022-01-16,PROP004,0.612,11,18,252.99,Sunday,Winter,True
2022-01-16,PROP005,0.642,10,19,253.26,Sunday,Winter,True
2022-01-16,PROP006,0.685,9,20,230.97,Sunday,Winter,True
2022-01-16,PROP007,0.451,16,13,240.63,Sunday,Winter,True
2022-01-16,PROP008,0.628,11,18,264.78,Sunday,Winter,True
2022-01-16,PROP009,0.441,16,13,246.69,Sunday,Winter,True
2022-01-16,PROP010,0.55,13,16,237.39,Sunday,Winter,True
2022-01-17,PROP001,0.527,14,15,238.8,Monday,Winter,False
2022-01-17,PROP002,0.655,10,19,246.09,Monday,Winter,False
2022-01-17,PROP003,0.59,12,17,231.06,Monday,Winter,False
2022-01-17,PROP004,0.513,14,15,252.99,Monday,Winter,False
2022-01-17,PROP005,0.494,15,14,253.26,Monday,Winter,False
2022-01-17,PROP006,0.558,13,16,230.97,Monday,Winter,False
2022-01-17,PROP007,0.219,23,6,240.63,Monday,Winter,False
2022-01-17,PROP008,0.324,20,9,264.78,Monday,Winter,False
2022-01-17,PROP009,0.601,11,18,246.69,Monday,Winter,False
2022-01-17,PROP010,0.477,15,14,237.39,Monday,Winter,False
2022-01-18,PROP001,0.638,10,19,238.8,Tuesday,Winter,False
2022-01-18,PROP002,0.529,14,15,246.09,Tuesday,Winter,False
2022-01-18,PROP003,0.424,17,12,231.06,Tuesday,Winter,False
2022-01-18,PROP004,0.439,16,13,252.99,Tuesday,Winter,False
2022-01-18,PROP005,0.458,16,13,253.26,Tuesday,Winter,False
2022-01-18,PROP006,0.571,12,17,230.97,Tuesday,Winter,False
2022-01-18,PROP007,0.356,19,10,240.63,Tuesday,Winter,False
2022-01-18,PROP008,0.594,12,17,264.78,Tuesday,Winter,False
2022-01-18,PROP009,0.287,21,8,246.69,Tuesday,Winter,False
2022-01-18,PROP010,0.385,18,11,237.39,Tuesday,Winter,False
2022-01-19,PROP001,0.604,11,18,238.8,Wednesday,Winter,False
2022-01-19,PROP002,0.301,20,9,246.09,Wednesday,Winter,False
2022-01-19,PROP003,0.622,11,18,231.06,Wednesday,Winter,False
2022-01-19,PROP004,0.466,16,13,252.99,Wednesday,Winter,False
2022-01-19,PROP005,0.283,21,8,253.26,Wednesday,Winter,False
2022-01-19,PROP006,0.448,16,13,230.97,Wednesday,Winter,False
2022-01-19,PROP007,0.49,15,14,240.63,Wednesday,Winter,False
2022-01-19,PROP008,0.342,19,10,264.78,Wednesday,Winter,False
2022-01-19,PROP009,0.483,15,14,246.69,Wednesday,Winter,False
2022-01-19,PROP010,0.637,10,19,237.39,Wednesday,Winter,False
2022-01-20,PROP001,0.621,11,18,238.8,Thursday,Winter,False
2022-01-20,PROP002,0.504,14,15,246.09,Thursday,Winter,False
2022-01-20,PROP003,0.641,10,19,231.06,Thursday,Winter,False
2022-01-20,PROP004,0.48,15,14,252.99,Thursday,Winter,False
2022-01-20,PROP005,0.165,25,4,253.26,Thursday,Winter,False
2022-01-20,PROP006,0.481,15,14,230.97,Thursday,Winter,False
2022-01-20,PROP007,0.311,20,9,240.63,Thursday,Winter,False
2022-01-20,PROP008,0.506,14,15,264.78,Thursday,Winter,False
2022-01-20,PROP009,0.621,11,18,246.69,Thursday,Winter,False
2022-01-20,PROP010,0.44,16,13,237.39,Thursday,Winter,False
2022-01-21,PROP001,0.464,16,13,238.8,Friday,Winter,False
2022-01-21,PROP002,0.496,15,14,246.09,Friday,Winter,False
2022-01-21,PROP003,0.535,13,16,231.06,Friday,Winter,False
2022-01-21,PROP004,0.636,10,19,252.99,Friday,Winter,False
2022-01-21,PROP005,0.367,18,11,253.26,Friday,Winter,False
2022-01-21,PROP006,0.721,8,21,230.97,Friday,Winter,False
2022-01-21,PROP007,0.633,11,18,240.63,Friday,Winter,False
2022-01-21,PROP008,0.593,12,17,264.78,Friday,Winter,False
2022-01-21,PROP009,0.517,14,15,246.69,Friday,Winter,False
2022-01-21,PROP010,0.626,11,18,237.39,Friday,Winter,False
2022-01-22,PROP001,0.558,13,16,238.8,Saturday,Winter,True
2022-01-22,PROP002,0.54,13,16,246.09,Saturday,Winter,True
2022-01-22,PROP003,0.655,10,19,231.06,Saturday,Winter,True
2022-01-22,PROP004,0.735,7,22,252.99,Saturday,Winter,True
2022-01-22,PROP005,0.524,14,15,253.26,Saturday,Winter,True
2022-01-22,PROP006,0.673,9,20,230.97,Saturday,Winter,True
2022-01-22,PROP007,0.478,15,14,240.63,Saturday,Winter,True
2022-01-22,PROP008,0.669,9,20,264.78,Saturday,Winter,True
2022-01-22,PROP009,0.65,10,19,246.69,Saturday,Winter,True
2022-01-22,PROP010,0.654,10,19,237.39,Saturday,Winter,True
2022-01-23,PROP001,0.492,15,14,238.8,Sunday,Winter,True
2022-01-23,PROP002,0.611,11,18,246.09,Sunday,Winter,True
2022-01-23,PROP003,0.533,14,15,231.06,Sunday,Winter,True
2022-01-23,PROP004,0.623,11,18,252.99,Sunday,Winter,True
2022-01-23,PROP005,0.511,14,15,253.26,Sunday,Winter,True
2022-01-23,PROP006,0.596,12,17,230.97,Sunday,Winter,True
2022-01-23,PROP007,0.671,9,20,240.63,Sunday,Winter,True
2022-01-23,PROP008,0.653,10,19,264.78,Sunday,Winter,True
2022-01-23,PROP009,0.44,16,13,246.69,Sunday,Winter,True
2022-01-23,PROP010,0.655,10,19,237.39,Sunday,Winter,True
2022-01-24,PROP001,0.489,15,14,238.8,Monday,Winter,False
2022-01-24,PROP002,0.432,17,12,246.09,Monday,Winter,False
2022-01-24,PROP003,0.447,16,13,231.06,Monday,Winter,False
2022-01-24,PROP004,0.616,11,18,252.99,Monday,Winter,False
2022-01-24,PROP005,0.533,14,15,253.26,Monday,Winter,False
2022-01-24,PROP006,0.58,12,17,230.97,Monday,Winter,False
2022-01-24,PROP007,0.616,11,18,240.63,Monday,Winter,False
2022-01-24,PROP008,0.557,13,16,264.78,Monday,Winter,False
2022-01-24,PROP009,0.576,12,17,246.69,Monday,Winter,False
2022-01-24,PROP010,0.491,15,14,237.39,Monday,Winter,False
2022-01-25,PROP001,0.511,14,15,238.8,Tuesday,Winter,False
2022-01-25,PROP002,0.406,17,12,246.09,Tuesday,Winter,False
2022-01-25,PROP003,0.579,12,17,231.06,Tuesday,Winter,False
2022-01-25,PROP004,0.487,15,14,252.99,Tuesday,Winter,False
2022-01-25,PROP005,0.562,13,16,253.26,Tuesday,Winter,False
2022-01-25,PROP006,0.44,16,13,230.97,Tuesday,Winter,False
2022-01-25,PROP007,0.458,16,13,240.63,Tuesday,Winter,False
2022-01-25,PROP008,0.491,15,14,264.78,Tuesday,Winter,False
2022-01-25,PROP009,0.464,16,13,246.69,Tuesday,Winter,False
2022-01-25,PROP010,0.659,10,19,237.39,Tuesday,Winter,False
2022-01-26,PROP001,0.543,13,16,238.8,Wednesday,Winter,False
2022-01-26,PROP002,0.604,11,18,246.09,Wednesday,Winter,False
2022-01-26,PROP003,0.418,17,12,231.06,Wednesday,Winter,False
2022-01-26,PROP004,0.502,14,15,252.99,Wednesday,Winter,False
2022-01-26,PROP005,0.586,12,17,253.26,Wednesday,Winter,False
2022-01-26,PROP006,0.46,16,13,230.97,Wednesday,Winter,False
2022-01-26,PROP007,0.481,15,14,240.63,Wednesday,Winter,False
2022-01-26,PROP008,0.556,13,16,264.78,Wednesday,Winter,False
2022-01-26,PROP009,0.46,16,13,246.69,Wednesday,Winter,False
2022-01-26,PROP010,0.42,17,12,237.39,Wednesday,Winter,False
2022-01-27,PROP001,0.624,11,18,238.8,Thursday,Winter,False
2022-01-27,PROP002,0.556,13,16,246.09,Thursday,Winter,False
2022-01-27,PROP003,0.537,13,16,231.06,Thursday,Winter,False
2022-01-27,PROP004,0.5,14,15,252.99,Thursday,Winter,False
2022-01-27,PROP005,0.5,15,14,253.26,Thursday,Winter,False
2022-01-27,PROP006,0.537,13,16,230.97,Thursday,Winter,False
2022-01-27,PROP007,0.656,10,19,240.63,Thursday,Winter,False
2022-01-27,PROP008,0.341,19,10,264.78,Thursday,Winter,False
2022-01-27,PROP009,0.322,20,9,246.69,Thursday,Winter,False
2022-01-27,PROP010,0.414,17,12,237.39,Thursday,Winter,False
2022-01-28,PROP001,0.587,12,17,238.8,Friday,Winter,False
2022-01-28,PROP002,0.264,22,7,246.09,Friday,Winter,False
2022-01-28,PROP003,0.604,11,18,231.06,Friday,Winter,False
2022-01-28,PROP004,0.63,11,18,252.99,Friday,Winter,False
2022-01-28,PROP005,0.371,18,11,253.26,Friday,Winter,False
2022-01-28,PROP006,0.602,11,18,230.97,Friday,Winter,False
2022-01-28,PROP007,0.581,12,17,240.63,Friday,Winter,False
2022-01-28,PROP008,0.61,11,18,264.78,Friday,Winter,False
2022-01-28,PROP009,0.696,9,20,246.69,Friday,Winter,False
2022-01-28,PROP010,0.624,11,18,237.39,Friday,Winter,False
2022-01-29,PROP001,0.531,14,15,238.8,Saturday,Winter,True
2022-01-29,PROP002,0.63,11,18,246.09,Saturday,Winter,True
2022-01-29,PROP003,0.718,8,21,231.06,Saturday,Winter,True
2022-01-29,PROP004,0.721,8,21,252.99,Saturday,Winter,True
2022-01-29,PROP005,0.549,13,16,253.26,Saturday,Winter,True
2022-01-29,PROP006,0.404,17,12,230.97,Saturday,Winter,True
2022-01-29,PROP007,0.593,12,17,240.63,Saturday,Winter,True
2022-01-29,PROP008,0.65,10,19,264.78,Saturday,Winter,True
2022-01-29,PROP009,0.336,19,10,246.69,Saturday,Winter,True
2022-01-29,PROP010,0.444,16,13,237.39,Saturday,Winter,True
2022-01-30,PROP001,0.633,11,18,238.8,Sunday,Winter,True
2022-01-30,PROP002,0.551,13,16,246.09,Sunday,Winter,True
2022-01-30,PROP003,0.646,10,19,231.06,Sunday,Winter,True
2022-01-30,PROP004,0.459,16,13,252.99,Sunday,Winter,True
2022-01-30,PROP005,0.46,16,13,253.26,Sunday,Winter,True
2022-01-30,PROP006,0.603,11,18,230.97,Sunday,Winter,True
2022-01-30,PROP007,0.718,8,21,240.63,Sunday,Winter,True
2022-01-30,PROP008,0.446,16,13,264.78,Sunday,Winter,True
2022-01-30,PROP009,0.614,11,18,246.69,Sunday,Winter,True
2022-01-30,PROP010,0.581,12,17,237.39,Sunday,Winter,True
2022-01-31,PROP001,0.659,10,19,238.8,Monday,Winter,False
2022-01-31,PROP002,0.38,18,11,246.09,Monday,Winter,False
2022-01-31,PROP003,0.481,15,14,231.06,Monday,Winter,False
2022-01-31,PROP004,0.519,14,15,252.99,Monday,Winter,False
2022-01-31,PROP005,0.581,12,17,253.26,Monday,Winter,False
2022-01-31,PROP006,0.508,14,15,230.97,Monday,Winter,False
2022-01-31,PROP007,0.41,17,12,240.63,Monday,Winter,False
2022-01-31,PROP008,0.631,11,18,264.78,Monday,Winter,False
2022-01-31,PROP009,0.608,11,18,246.69,Monday,Winter,False
2022-01-31,PROP010,0.337,19,10,237.39,Monday,Winter,False
2022-02-01,PROP001,0.511,14,15,238.8,Tuesday,Winter,False
2022-02-01,PROP002,0.435,16,13,246.09,Tuesday,Winter,False
2022-02-01,PROP003,0.252,22,7,231.06,Tuesday,Winter,False
2022-02-01,PROP004,0.541,13,16,252.99,Tuesday,Winter,False
2022-02-01,PROP005,0.511,14,15,253.26,Tuesday,Winter,False
2022-02-01,PROP006,0.509,14,15,230.97,Tuesday,Winter,False
2022-02-01,PROP007,0.564,13,16,240.63,Tuesday,Winter,False
2022-02-01,PROP008,0.498,15,14,264.78,Tuesday,Winter,False
2022-02-01,PROP009,0.465,16,13,246.69,Tuesday,Winter,False
2022-02-01,PROP010,0.584,12,17,237.39,Tuesday,Winter,False
2022-02-02,PROP001,0.503,14,15,238.8,Wednesday,Winter,False
2022-02-02,PROP002,0.333,19,10,246.09,Wednesday,Winter,False
2022-02-02,PROP003,0.321,20,9,231.06,Wednesday,Winter,False
2022-02-02,PROP004,0.291,21,8,252.99,Wednesday,Winter,False
2022-02-02,PROP005,0.605,11,18,253.26,Wednesday,Winter,False
2022-02-02,PROP006,0.531,14,15,230.97,Wednesday,Winter,False
2022-02-02,PROP007,0.619,11,18,240.63,Wednesday,Winter,False
2022-02-02,PROP008,0.466,16,13,264.78,Wednesday,Winter,False
2022-02-02,PROP009,0.571,12,17,246.69,Wednesday,Winter,False
2022-02-02,PROP010,0.511,14,15,237.39,Wednesday,Winter,False
2022-02-03,PROP001,0.451,16,13,238.8,Thursday,Winter,False
2022-02-03,PROP002,0.532,14,15,246.09,Thursday,Winter,False
2022-02-03,PROP003,0.444,16,13,231.06,Thursday,Winter,False
2022-02-03,PROP004,0.479,15,14,252.99,Thursday,Winter,False
2022-02-03,PROP005,0.411,17,12,253.26,Thursday,Winter,False
2022-02-03,PROP006,0.619,11,18,230.97,Thursday,Winter,False
2022-02-03,PROP007,0.6,12,17,240.63,Thursday,Winter,False
2022-02-03,PROP008,0.656,10,19,264.78,Thursday,Winter,False
2022-02-03,PROP009,0.487,15,14,246.69,Thursday,Winter,False
2022-02-03,PROP010,0.321,20,9,237.39,Thursday,Winter,False
2022-02-04,PROP001,0.598,12,17,238.8,Friday,Winter,False
2022-02-04,PROP002,0.708,8,21,246.09,Friday,Winter,False
2022-02-04,PROP003,0.389,18,11,231.06,Friday,Winter,False
2022-02-04,PROP004,0.443,16,13,252.99,Friday,Winter,False
2022-02-04,PROP005,0.641,10,19,253.26,Friday,Winter,False
2022-02-04,PROP006,0.379,18,11,230.97,Friday,Winter,False
2022-02-04,PROP007,0.449,16,13,240.63,Friday,Winter,False
2022-02-04,PROP008,0.498,15,14,264.78,Friday,Winter,False
2022-02-04,PROP009,0.694,9,20,246.69,Friday,Winter,False
2022-02-04,PROP010,0.545,13,16,237.39,Friday,Winter,False
2022-02-05,PROP001,0.55,13,16,238.8,Saturday,Winter,True
2022-02-05,PROP002,0.67,9,20,246.09,Saturday,Winter,True
2022-02-05,PROP003,0.577,12,17,231.06,Saturday,Winter,True
2022-02-05,PROP004,0.714,8,21,252.99,Saturday,Winter,True
2022-02-05,PROP005,0.393,18,11,253.26,Saturday,Winter,True
2022-02-05,PROP006,0.61,11,18,230.97,Saturday,Winter,True
2022-02-05,PROP007,0.674,9,20,240.63,Saturday,Winter,True
2022-02-05,PROP008,0.503,14,15,264.78,Saturday,Winter,True
2022-02-05,PROP009,0.693,9,20,246.69,Saturday,Winter,True
2022-02-05,PROP010,0.544,13,16,237.39,Saturday,Winter,True
2022-02-06,PROP001,0.735,7,22,238.8,Sunday,Winter,True
2022-02-06,PROP002,0.547,13,16,246.09,Sunday,Winter,True
2022-02-06,PROP003,0.708,8,21,231.06,Sunday,Winter,True
2022-02-06,PROP004,0.69,9,20,252.99,Sunday,Winter,True
2022-02-06,PROP005,0.483,15,14,253.26,Sunday,Winter,True
2022-02-06,PROP006,0.718,8,21,230.97,Sunday,Winter,True
2022-02-06,PROP007,0.402,17,12,240.63,Sunday,Winter,True
2022-02-06,PROP008,0.655,10,19,264.78,Sunday,Winter,True
2022-02-06,PROP009,0.588,12,17,246.69,Sunday,Winter,True
2022-02-06,PROP010,0.692,9,20,237.39,Sunday,Winter,True
2022-02-07,PROP001,0.338,19,10,238.8,Monday,Winter,False
2022-02-07,PROP002,0.433,17,12,246.09,Monday,Winter,False
2022-02-07,PROP003,0.507,14,15,231.06,Monday,Winter,False
2022-02-07,PROP004,0.374,18,11,252.99,Monday,Winter,False
2022-02-07,PROP005,0.274,21,8,253.26,Monday,Winter,False
2022-02-07,PROP006,0.502,14,15,230.97,Monday,Winter,False
2022-02-07,PROP007,0.502,14,15,240.63,Monday,Winter,False
2022-02-07,PROP008,0.579,12,17,264.78,Monday,Winter,False
2022-02-07,PROP009,0.425,17,12,246.69,Monday,Winter,False
2022-02-07,PROP010,0.553,13,16,237.39,Monday,Winter,False
2022-02-08,PROP001,0.509,14,15,238.8,Tuesday,Winter,False
2022-02-08,PROP002,0.51,14,15,246.09,Tuesday,Winter,False
2022-02-08,PROP003,0.541,13,16,231.06,Tuesday,Winter,False
2022-02-08,PROP004,0.621,11,18,252.99,Tuesday,Winter,False
2022-02-08,PROP005,0.596,12,17,253.26,Tuesday,Winter,False
2022-02-08,PROP006,0.567,12,17,230.97,Tuesday,Winter,False
2022-02-08,PROP007,0.582,12,17,240.63,Tuesday,Winter,False
2022-02-08,PROP008,0.466,16,13,264.78,Tuesday,Winter,False
2022-02-08,PROP009,0.449,16,13,246.69,Tuesday,Winter,False
2022-02-08,PROP010,0.256,22,7,237.39,Tuesday,Winter,False
2022-02-09,PROP001,0.453,16,13,238.8,Wednesday,Winter,False
2022-02-09,PROP002,0.598,12,17,246.09,Wednesday,Winter,False
2022-02-09,PROP003,0.467,15,14,231.06,Wednesday,Winter,False
2022-02-09,PROP004,0.539,13,16,252.99,Wednesday,Winter,False
2022-02-09,PROP005,0.615,11,18,253.26,Wednesday,Winter,False
2022-02-09,PROP006,0.601,11,18,230.97,Wednesday,Winter,False
