date,property_id,competitor_id,competitor_name,competitor_price,competitor_available_rooms,competitor_rating
2022-01-01,PROP007,COMP_2,Competitor Hotel 2,106.39,4,4.7
2022-01-01,PROP007,COMP_3,Competitor Hotel 3,117.51,27,2.8
2022-01-01,PROP007,COMP_4,Competitor Hotel 4,126.76,11,3.9
2022-01-01,PROP007,COMP_5,Competitor Hotel 5,145.87,2,4.2
2022-01-01,PROP008,COMP_1,Competitor Hotel 1,118.93,39,4.0
2022-01-01,PROP008,COMP_2,Competitor Hotel 2,92.22,29,3.3
2022-01-01,PROP008,COMP_3,Competitor Hotel 3,141.3,36,3.9
2022-01-01,PROP008,COMP_4,Competitor Hotel 4,118.16,19,3.5
2022-01-01,PROP009,COMP_1,Competitor Hotel 1,140.88,9,4.1
2022-01-01,PROP009,COMP_2,Competitor Hotel 2,104.94,2,4.1
2022-01-01,PROP009,COMP_3,Competitor Hotel 3,120.96,10,4.1
2022-01-01,PROP010,COMP_1,Competitor Hotel 1,72.75,12,4.6
2022-01-01,PROP010,COMP_2,Competitor Hotel 2,87.41,24,2.9
2022-01-01,PROP010,COMP_3,Competitor Hotel 3,53.62,27,4.5
2022-01-01,PROP010,COMP_4,Competitor Hotel 4,106.03,20,3.1
2022-01-01,PROP010,COMP_5,Competitor Hotel 5,110.8,42,4.2
2022-01-02,PROP001,COMP_1,Competitor Hotel 1,112.03,24,3.5
2022-01-02,PROP001,COMP_2,Competitor Hotel 2,142.61,24,3.9
2022-01-02,PROP001,COMP_3,Competitor Hotel 3,100.02,25,4.2
2022-01-02,PROP002,COMP_1,Competitor Hotel 1,156.04,33,4.1
2022-01-02,PROP002,COMP_2,Competitor Hotel 2,133.01,15,3.9
2022-01-02,PROP002,COMP_3,Competitor Hotel 3,124.19,13,4.4
2022-01-02,PROP002,COMP_4,Competitor Hotel 4,167.01,27,3.8
2022-01-02,PROP003,COMP_1,Competitor Hotel 1,110.73,39,3.0
2022-01-02,PROP003,COMP_2,Competitor Hotel 2,112.71,37,4.0
2022-01-02,PROP003,COMP_3,Competitor Hotel 3,68.04,6,4.4
2022-01-02,PROP003,COMP_4,Competitor Hotel 4,126.25,45,3.9
2022-01-02,PROP003,COMP_5,Competitor Hotel 5,93.02,49,3.3
2022-01-02,PROP004,COMP_1,Competitor Hotel 1,186.48,11,4.1
2022-01-02,PROP004,COMP_2,Competitor Hotel 2,117.65,0,3.6
2022-01-02,PROP004,COMP_3,Competitor Hotel 3,83.62,11,3.1
2022-01-02,PROP004,COMP_4,Competitor Hotel 4,107.78,16,4.2
2022-01-02,PROP004,COMP_5,Competitor Hotel 5,127.4,16,4.1
2022-01-02,PROP005,COMP_1,Competitor Hotel 1,119.16,26,4.6
2022-01-02,PROP005,COMP_2,Competitor Hotel 2,107.31,40,3.8
2022-01-02,PROP005,COMP_3,Competitor Hotel 3,83.86,12,4.7
2022-01-02,PROP005,COMP_4,Competitor Hotel 4,108.26,14,3.1
2022-01-02,PROP005,COMP_5,Competitor Hotel 5,156.96,20,3.9
2022-01-02,PROP006,COMP_1,Competitor Hotel 1,106.84,47,4.8
2022-01-02,PROP006,COMP_2,Competitor Hotel 2,109.18,7,4.1
2022-01-02,PROP006,COMP_3,Competitor Hotel 3,108.69,25,2.9
2022-01-02,PROP007,COMP_1,Competitor Hotel 1,77.3,44,5.4
2022-01-02,PROP007,COMP_2,Competitor Hotel 2,80.92,39,4.1
2022-01-02,PROP007,COMP_3,Competitor Hotel 3,79.48,16,4.6
2022-01-02,PROP008,COMP_1,Competitor Hotel 1,72.59,11,3.7
2022-01-02,PROP008,COMP_2,Competitor Hotel 2,77.65,44,4.2
2022-01-02,PROP008,COMP_3,Competitor Hotel 3,67.0,34,4.2
2022-01-02,PROP009,COMP_1,Competitor Hotel 1,72.81,30,3.8
2022-01-02,PROP009,COMP_2,Competitor Hotel 2,100.43,7,3.6
2022-01-02,PROP009,COMP_3,Competitor Hotel 3,126.07,37,4.2
2022-01-02,PROP010,COMP_1,Competitor Hotel 1,107.77,14,3.4
2022-01-02,PROP010,COMP_2,Competitor Hotel 2,99.55,32,3.8
2022-01-02,PROP010,COMP_3,Competitor Hotel 3,78.97,44,3.6
2022-01-02,PROP010,COMP_4,Competitor Hotel 4,140.84,27,3.6
2022-01-03,PROP001,COMP_1,Competitor Hotel 1,131.67,50,4.6
2022-01-03,PROP001,COMP_2,Competitor Hotel 2,128.84,15,3.4
2022-01-03,PROP001,COMP_3,Competitor Hotel 3,30.04,8,3.9
2022-01-03,PROP001,COMP_4,Competitor Hotel 4,87.67,44,4.2
2022-01-03,PROP002,COMP_1,Competitor Hotel 1,112.67,31,3.8
2022-01-03,PROP002,COMP_2,Competitor Hotel 2,94.32,5,3.7
2022-01-03,PROP002,COMP_3,Competitor Hotel 3,63.04,23,3.7
2022-01-03,PROP002,COMP_4,Competitor Hotel 4,107.22,37,3.9
2022-01-03,PROP003,COMP_1,Competitor Hotel 1,78.41,33,4.0
2022-01-03,PROP003,COMP_2,Competitor Hotel 2,57.64,28,3.8
2022-01-03,PROP003,COMP_3,Competitor Hotel 3,125.52,23,4.0
2022-01-03,PROP003,COMP_4,Competitor Hotel 4,42.1,46,3.7
2022-01-03,PROP004,COMP_1,Competitor Hotel 1,142.38,3,3.5
2022-01-03,PROP004,COMP_2,Competitor Hotel 2,72.68,5,4.4
2022-01-03,PROP004,COMP_3,Competitor Hotel 3,100.51,10,4.1
2022-01-03,PROP004,COMP_4,Competitor Hotel 4,80.1,34,3.2
2022-01-03,PROP004,COMP_5,Competitor Hotel 5,161.21,19,3.2
2022-01-03,PROP005,COMP_1,Competitor Hotel 1,111.38,8,3.6
2022-01-03,PROP005,COMP_2,Competitor Hotel 2,159.21,50,4.1
2022-01-03,PROP005,COMP_3,Competitor Hotel 3,92.75,28,3.6
2022-01-03,PROP005,COMP_4,Competitor Hotel 4,113.83,45,4.0
2022-01-03,PROP005,COMP_5,Competitor Hotel 5,77.26,5,3.5
2022-01-03,PROP006,COMP_1,Competitor Hotel 1,112.59,20,3.4
2022-01-03,PROP006,COMP_2,Competitor Hotel 2,114.84,39,3.7
2022-01-03,PROP006,COMP_3,Competitor Hotel 3,83.47,36,3.8
2022-01-03,PROP006,COMP_4,Competitor Hotel 4,120.8,35,4.3
2022-01-03,PROP006,COMP_5,Competitor Hotel 5,107.02,7,4.7
2022-01-03,PROP007,COMP_1,Competitor Hotel 1,34.2,28,4.3
2022-01-03,PROP007,COMP_2,Competitor Hotel 2,101.33,44,4.6
2022-01-03,PROP007,COMP_3,Competitor Hotel 3,55.14,46,3.6
2022-01-03,PROP007,COMP_4,Competitor Hotel 4,213.89,17,4.1
2022-01-03,PROP008,COMP_1,Competitor Hotel 1,113.95,0,4.0
2022-01-03,PROP008,COMP_2,Competitor Hotel 2,76.34,5,4.2
2022-01-03,PROP008,COMP_3,Competitor Hotel 3,111.79,12,3.0
2022-01-03,PROP009,COMP_1,Competitor Hotel 1,85.94,11,3.8
2022-01-03,PROP009,COMP_2,Competitor Hotel 2,119.82,31,4.3
2022-01-03,PROP009,COMP_3,Competitor Hotel 3,123.53,19,3.9
2022-01-03,PROP010,COMP_1,Competitor Hotel 1,140.38,30,3.9
2022-01-03,PROP010,COMP_2,Competitor Hotel 2,93.04,13,4.7
2022-01-03,PROP010,COMP_3,Competitor Hotel 3,126.72,26,4.2
2022-01-04,PROP001,COMP_1,Competitor Hotel 1,80.99,12,3.6
2022-01-04,PROP001,COMP_2,Competitor Hotel 2,106.72,21,4.3
2022-01-04,PROP001,COMP_3,Competitor Hotel 3,126.03,18,3.0
2022-01-04,PROP001,COMP_4,Competitor Hotel 4,54.51,12,2.7
2022-01-04,PROP001,COMP_5,Competitor Hotel 5,57.95,6,3.2
2022-01-04,PROP002,COMP_1,Competitor Hotel 1,30.01,38,4.4
2022-01-04,PROP002,COMP_2,Competitor Hotel 2,87.8,34,4.5
2022-01-04,PROP002,COMP_3,Competitor Hotel 3,190.0,46,4.6
2022-01-04,PROP003,COMP_1,Competitor Hotel 1,168.08,30,3.8
2022-01-04,PROP003,COMP_2,Competitor Hotel 2,74.15,36,4.2
2022-01-04,PROP003,COMP_3,Competitor Hotel 3,100.69,15,4.6
2022-01-04,PROP004,COMP_1,Competitor Hotel 1,135.6,38,3.8
2022-01-04,PROP004,COMP_2,Competitor Hotel 2,132.06,42,4.6
2022-01-04,PROP004,COMP_3,Competitor Hotel 3,78.0,8,4.1
2022-01-04,PROP004,COMP_4,Competitor Hotel 4,101.99,20,3.8
2022-01-04,PROP004,COMP_5,Competitor Hotel 5,118.82,16,3.1
2022-01-04,PROP005,COMP_1,Competitor Hotel 1,87.98,46,4.1
2022-01-04,PROP005,COMP_2,Competitor Hotel 2,68.53,31,3.6
2022-01-04,PROP005,COMP_3,Competitor Hotel 3,108.74,48,4.6
2022-01-04,PROP005,COMP_4,Competitor Hotel 4,126.94,38,4.1
2022-01-04,PROP005,COMP_5,Competitor Hotel 5,80.01,19,2.6
2022-01-04,PROP006,COMP_1,Competitor Hotel 1,76.29,25,4.0
2022-01-04,PROP006,COMP_2,Competitor Hotel 2,58.74,33,4.5
2022-01-04,PROP006,COMP_3,Competitor Hotel 3,106.75,36,3.9
2022-01-04,PROP006,COMP_4,Competitor Hotel 4,74.3,28,4.4
2022-01-04,PROP007,COMP_1,Competitor Hotel 1,152.66,22,4.2
2022-01-04,PROP007,COMP_2,Competitor Hotel 2,190.97,37,4.9
2022-01-04,PROP007,COMP_3,Competitor Hotel 3,47.89,14,3.1
2022-01-04,PROP008,COMP_1,Competitor Hotel 1,94.32,19,4.8
2022-01-04,PROP008,COMP_2,Competitor Hotel 2,115.76,28,3.8
2022-01-04,PROP008,COMP_3,Competitor Hotel 3,98.28,10,4.1
2022-01-04,PROP008,COMP_4,Competitor Hotel 4,61.5,29,4.4
2022-01-04,PROP009,COMP_1,Competitor Hotel 1,125.6,50,3.8
2022-01-04,PROP009,COMP_2,Competitor Hotel 2,69.1,42,4.1
2022-01-04,PROP009,COMP_3,Competitor Hotel 3,99.36,29,4.4
2022-01-04,PROP010,COMP_1,Competitor Hotel 1,114.97,33,3.7
2022-01-04,PROP010,COMP_2,Competitor Hotel 2,125.93,12,4.1
2022-01-04,PROP010,COMP_3,Competitor Hotel 3,135.5,48,5.0
2022-01-04,PROP010,COMP_4,Competitor Hotel 4,116.47,8,4.2
2022-01-05,PROP001,COMP_1,Competitor Hotel 1,57.93,16,3.5
2022-01-05,PROP001,COMP_2,Competitor Hotel 2,114.69,45,3.6
2022-01-05,PROP001,COMP_3,Competitor Hotel 3,121.66,49,4.1
2022-01-05,PROP001,COMP_4,Competitor Hotel 4,67.77,19,3.2
2022-01-05,PROP002,COMP_1,Competitor Hotel 1,125.11,10,4.4
2022-01-05,PROP002,COMP_2,Competitor Hotel 2,89.81,49,4.0
2022-01-05,PROP002,COMP_3,Competitor Hotel 3,56.95,47,4.5
2022-01-05,PROP002,COMP_4,Competitor Hotel 4,95.1,27,3.7
2022-01-05,PROP003,COMP_1,Competitor Hotel 1,169.03,7,3.8
2022-01-05,PROP003,COMP_2,Competitor Hotel 2,95.01,1,3.6
2022-01-05,PROP003,COMP_3,Competitor Hotel 3,118.14,17,4.4
2022-01-05,PROP004,COMP_1,Competitor Hotel 1,65.68,43,3.6
2022-01-05,PROP004,COMP_2,Competitor Hotel 2,83.34,31,4.0
2022-01-05,PROP004,COMP_3,Competitor Hotel 3,99.88,25,4.0
2022-01-05,PROP004,COMP_4,Competitor Hotel 4,96.97,18,3.6
2022-01-05,PROP005,COMP_1,Competitor Hotel 1,170.85,31,3.7
2022-01-05,PROP005,COMP_2,Competitor Hotel 2,48.86,39,3.5
2022-01-05,PROP005,COMP_3,Competitor Hotel 3,94.18,13,4.6
2022-01-05,PROP005,COMP_4,Competitor Hotel 4,128.14,23,4.1
2022-01-05,PROP005,COMP_5,Competitor Hotel 5,107.2,2,3.5
2022-01-05,PROP006,COMP_1,Competitor Hotel 1,106.38,14,3.9
2022-01-05,PROP006,COMP_2,Competitor Hotel 2,92.77,5,4.0
2022-01-05,PROP006,COMP_3,Competitor Hotel 3,133.36,1,3.8
2022-01-05,PROP007,COMP_1,Competitor Hotel 1,74.92,18,3.6
2022-01-05,PROP007,COMP_2,Competitor Hotel 2,100.48,39,4.7
2022-01-05,PROP007,COMP_3,Competitor Hotel 3,107.23,45,4.9
2022-01-05,PROP007,COMP_4,Competitor Hotel 4,134.67,36,3.6
2022-01-05,PROP008,COMP_1,Competitor Hotel 1,97.25,17,3.9
2022-01-05,PROP008,COMP_2,Competitor Hotel 2,119.11,35,3.4
2022-01-05,PROP008,COMP_3,Competitor Hotel 3,92.73,29,4.1
2022-01-05,PROP009,COMP_1,Competitor Hotel 1,81.84,16,3.8
2022-01-05,PROP009,COMP_2,Competitor Hotel 2,109.76,6,3.7
2022-01-05,PROP009,COMP_3,Competitor Hotel 3,119.89,50,4.2
2022-01-05,PROP009,COMP_4,Competitor Hotel 4,84.13,9,3.2
2022-01-05,PROP009,COMP_5,Competitor Hotel 5,101.2,4,4.4
2022-01-05,PROP010,COMP_1,Competitor Hotel 1,107.83,10,3.8
2022-01-05,PROP010,COMP_2,Competitor Hotel 2,145.28,29,3.5
2022-01-05,PROP010,COMP_3,Competitor Hotel 3,106.22,4,4.1
2022-01-06,PROP001,COMP_1,Competitor Hotel 1,63.23,1,4.3
2022-01-06,PROP001,COMP_2,Competitor Hotel 2,70.51,16,3.5
2022-01-06,PROP001,COMP_3,Competitor Hotel 3,129.21,49,4.3
2022-01-06,PROP001,COMP_4,Competitor Hotel 4,127.9,12,4.6
2022-01-06,PROP002,COMP_1,Competitor Hotel 1,92.09,43,4.2
2022-01-06,PROP002,COMP_2,Competitor Hotel 2,131.8,27,4.6
2022-01-06,PROP002,COMP_3,Competitor Hotel 3,147.92,50,4.3
2022-01-06,PROP002,COMP_4,Competitor Hotel 4,110.14,41,3.4
2022-01-06,PROP002,COMP_5,Competitor Hotel 5,92.64,11,4.0
2022-01-06,PROP003,COMP_1,Competitor Hotel 1,80.47,31,4.2
2022-01-06,PROP003,COMP_2,Competitor Hotel 2,135.73,32,3.6
2022-01-06,PROP003,COMP_3,Competitor Hotel 3,74.41,24,3.4
2022-01-06,PROP003,COMP_4,Competitor Hotel 4,135.6,35,3.8
2022-01-06,PROP004,COMP_1,Competitor Hotel 1,74.28,22,3.2
2022-01-06,PROP004,COMP_2,Competitor Hotel 2,61.06,24,4.9
2022-01-06,PROP004,COMP_3,Competitor Hotel 3,96.67,6,4.2
2022-01-06,PROP004,COMP_4,Competitor Hotel 4,64.75,33,3.3
2022-01-06,PROP005,COMP_1,Competitor Hotel 1,114.25,25,3.1
2022-01-06,PROP005,COMP_2,Competitor Hotel 2,110.47,35,3.9
2022-01-06,PROP005,COMP_3,Competitor Hotel 3,135.97,41,4.6
2022-01-06,PROP005,COMP_4,Competitor Hotel 4,88.97,42,4.1
2022-01-06,PROP005,COMP_5,Competitor Hotel 5,84.17,2,3.3
2022-01-06,PROP006,COMP_1,Competitor Hotel 1,80.38,24,3.5
2022-01-06,PROP006,COMP_2,Competitor Hotel 2,102.11,1,3.5
2022-01-06,PROP006,COMP_3,Competitor Hotel 3,86.29,49,4.1
2022-01-06,PROP007,COMP_1,Competitor Hotel 1,67.09,7,4.4
2022-01-06,PROP007,COMP_2,Competitor Hotel 2,167.9,49,3.7
2022-01-06,PROP007,COMP_3,Competitor Hotel 3,72.49,32,4.1
2022-01-06,PROP008,COMP_1,Competitor Hotel 1,151.6,2,3.9
2022-01-06,PROP008,COMP_2,Competitor Hotel 2,102.35,38,3.3
2022-01-06,PROP008,COMP_3,Competitor Hotel 3,111.64,41,3.7
2022-01-06,PROP009,COMP_1,Competitor Hotel 1,95.4,32,4.5
2022-01-06,PROP009,COMP_2,Competitor Hotel 2,73.6,45,4.1
2022-01-06,PROP009,COMP_3,Competitor Hotel 3,114.33,44,3.3
2022-01-06,PROP009,COMP_4,Competitor Hotel 4,137.77,30,3.5
2022-01-06,PROP009,COMP_5,Competitor Hotel 5,127.6,4,4.3
2022-01-06,PROP010,COMP_1,Competitor Hotel 1,93.42,23,4.0
2022-01-06,PROP010,COMP_2,Competitor Hotel 2,135.32,47,3.4
2022-01-06,PROP010,COMP_3,Competitor Hotel 3,107.91,41,3.9
2022-01-06,PROP010,COMP_4,Competitor Hotel 4,93.1,38,3.9
2022-01-07,PROP001,COMP_1,Competitor Hotel 1,107.23,14,4.0
2022-01-07,PROP001,COMP_2,Competitor Hotel 2,79.09,0,4.4
2022-01-07,PROP001,COMP_3,Competitor Hotel 3,72.92,32,4.2
2022-01-07,PROP002,COMP_1,Competitor Hotel 1,42.9,29,3.9
2022-01-07,PROP002,COMP_2,Competitor Hotel 2,68.96,22,4.3
2022-01-07,PROP002,COMP_3,Competitor Hotel 3,62.84,14,3.8
2022-01-07,PROP002,COMP_4,Competitor Hotel 4,90.15,25,5.2
2022-01-07,PROP003,COMP_1,Competitor Hotel 1,56.27,46,4.3
2022-01-07,PROP003,COMP_2,Competitor Hotel 2,85.81,26,3.3
2022-01-07,PROP003,COMP_3,Competitor Hotel 3,91.87,21,3.8
2022-01-07,PROP003,COMP_4,Competitor Hotel 4,144.25,39,3.7
2022-01-07,PROP003,COMP_5,Competitor Hotel 5,105.58,3,3.6
2022-01-07,PROP004,COMP_1,Competitor Hotel 1,106.01,14,4.1
2022-01-07,PROP004,COMP_2,Competitor Hotel 2,65.11,33,4.0
2022-01-07,PROP004,COMP_3,Competitor Hotel 3,117.53,14,4.9
2022-01-07,PROP005,COMP_1,Competitor Hotel 1,113.84,3,4.9
2022-01-07,PROP005,COMP_2,Competitor Hotel 2,131.05,15,4.2
2022-01-07,PROP005,COMP_3,Competitor Hotel 3,92.04,48,4.7
2022-01-07,PROP005,COMP_4,Competitor Hotel 4,68.74,10,4.1
2022-01-07,PROP005,COMP_5,Competitor Hotel 5,112.12,28,4.6
2022-01-07,PROP006,COMP_1,Competitor Hotel 1,105.53,34,3.1
2022-01-07,PROP006,COMP_2,Competitor Hotel 2,52.98,39,3.4
2022-01-07,PROP006,COMP_3,Competitor Hotel 3,88.42,9,4.4
2022-01-07,PROP007,COMP_1,Competitor Hotel 1,84.13,41,3.5
2022-01-07,PROP007,COMP_2,Competitor Hotel 2,111.27,28,3.7
2022-01-07,PROP007,COMP_3,Competitor Hotel 3,59.83,26,3.9
2022-01-07,PROP007,COMP_4,Competitor Hotel 4,81.4,17,4.0
2022-01-07,PROP008,COMP_1,Competitor Hotel 1,72.19,39,4.1
2022-01-07,PROP008,COMP_2,Competitor Hotel 2,117.62,36,3.6
2022-01-07,PROP008,COMP_3,Competitor Hotel 3,102.0,7,3.6
2022-01-07,PROP008,COMP_4,Competitor Hotel 4,119.23,42,4.3
2022-01-07,PROP008,COMP_5,Competitor Hotel 5,137.73,50,2.8
2022-01-07,PROP009,COMP_1,Competitor Hotel 1,111.65,3,4.3
2022-01-07,PROP009,COMP_2,Competitor Hotel 2,90.5,40,4.0
2022-01-07,PROP009,COMP_3,Competitor Hotel 3,88.07,18,4.0
2022-01-07,PROP009,COMP_4,Competitor Hotel 4,110.38,5,4.8
2022-01-07,PROP010,COMP_1,Competitor Hotel 1,60.85,25,4.5
2022-01-07,PROP010,COMP_2,Competitor Hotel 2,84.05,0,3.3
2022-01-07,PROP010,COMP_3,Competitor Hotel 3,102.43,5,4.3
2022-01-07,PROP010,COMP_4,Competitor Hotel 4,85.4,8,4.0
2022-01-08,PROP001,COMP_1,Competitor Hotel 1,142.66,30,5.3
2022-01-08,PROP001,COMP_2,Competitor Hotel 2,156.36,43,4.5
2022-01-08,PROP001,COMP_3,Competitor Hotel 3,116.05,41,4.3
2022-01-08,PROP002,COMP_1,Competitor Hotel 1,108.02,42,4.6
2022-01-08,PROP002,COMP_2,Competitor Hotel 2,107.73,10,3.7
2022-01-08,PROP002,COMP_3,Competitor Hotel 3,167.73,46,3.8
2022-01-08,PROP002,COMP_4,Competitor Hotel 4,93.36,34,4.0
2022-01-08,PROP002,COMP_5,Competitor Hotel 5,124.73,15,3.1
2022-01-08,PROP003,COMP_1,Competitor Hotel 1,90.77,29,3.9
2022-01-08,PROP003,COMP_2,Competitor Hotel 2,105.59,7,4.7
2022-01-08,PROP003,COMP_3,Competitor Hotel 3,88.68,31,4.4
2022-01-08,PROP004,COMP_1,Competitor Hotel 1,57.92,23,4.5
2022-01-08,PROP004,COMP_2,Competitor Hotel 2,74.92,11,2.7
2022-01-08,PROP004,COMP_3,Competitor Hotel 3,91.93,28,4.9
2022-01-08,PROP004,COMP_4,Competitor Hotel 4,94.66,35,4.0
2022-01-08,PROP005,COMP_1,Competitor Hotel 1,107.04,8,4.4
2022-01-08,PROP005,COMP_2,Competitor Hotel 2,71.07,11,3.3
2022-01-08,PROP005,COMP_3,Competitor Hotel 3,73.93,9,3.7
2022-01-08,PROP005,COMP_4,Competitor Hotel 4,134.47,1,4.3
2022-01-08,PROP006,COMP_1,Competitor Hotel 1,112.2,22,4.6
2022-01-08,PROP006,COMP_2,Competitor Hotel 2,66.42,50,4.6
2022-01-08,PROP006,COMP_3,Competitor Hotel 3,69.13,41,4.5
2022-01-08,PROP006,COMP_4,Competitor Hotel 4,72.63,34,4.0
2022-01-08,PROP007,COMP_1,Competitor Hotel 1,100.58,40,3.8
2022-01-08,PROP007,COMP_2,Competitor Hotel 2,98.26,37,4.4
2022-01-08,PROP007,COMP_3,Competitor Hotel 3,90.0,39,4.4
2022-01-08,PROP007,COMP_4,Competitor Hotel 4,154.44,14,3.3
2022-01-08,PROP008,COMP_1,Competitor Hotel 1,130.27,36,3.9
2022-01-08,PROP008,COMP_2,Competitor Hotel 2,91.5,1,4.2
2022-01-08,PROP008,COMP_3,Competitor Hotel 3,32.66,23,4.5
2022-01-08,PROP009,COMP_1,Competitor Hotel 1,111.57,32,4.8
2022-01-08,PROP009,COMP_2,Competitor Hotel 2,90.13,9,5.0
2022-01-08,PROP009,COMP_3,Competitor Hotel 3,91.71,18,3.7
2022-01-08,PROP009,COMP_4,Competitor Hotel 4,129.76,24,4.5
2022-01-08,PROP009,COMP_5,Competitor Hotel 5,88.76,34,4.2
2022-01-08,PROP010,COMP_1,Competitor Hotel 1,95.23,41,3.7
2022-01-08,PROP010,COMP_2,Competitor Hotel 2,108.53,10,3.5
2022-01-08,PROP010,COMP_3,Competitor Hotel 3,101.67,41,4.5
2022-01-08,PROP010,COMP_4,Competitor Hotel 4,83.58,37,4.6
2022-01-09,PROP001,COMP_1,Competitor Hotel 1,55.12,43,3.6
2022-01-09,PROP001,COMP_2,Competitor Hotel 2,108.16,12,4.3
2022-01-09,PROP001,COMP_3,Competitor Hotel 3,96.62,39,4.6
2022-01-09,PROP001,COMP_4,Competitor Hotel 4,123.62,47,3.0
2022-01-09,PROP001,COMP_5,Competitor Hotel 5,101.6,28,3.9
2022-01-09,PROP002,COMP_1,Competitor Hotel 1,57.46,4,3.9
2022-01-09,PROP002,COMP_2,Competitor Hotel 2,132.07,41,4.0
2022-01-09,PROP002,COMP_3,Competitor Hotel 3,69.38,49,4.8
2022-01-09,PROP002,COMP_4,Competitor Hotel 4,119.5,39,4.2
2022-01-09,PROP002,COMP_5,Competitor Hotel 5,87.42,26,3.5
2022-01-09,PROP003,COMP_1,Competitor Hotel 1,89.42,49,5.1
2022-01-09,PROP003,COMP_2,Competitor Hotel 2,70.79,34,4.5
2022-01-09,PROP003,COMP_3,Competitor Hotel 3,103.96,47,5.2
2022-01-09,PROP003,COMP_4,Competitor Hotel 4,78.47,6,4.3
2022-01-09,PROP004,COMP_1,Competitor Hotel 1,86.79,37,4.1
2022-01-09,PROP004,COMP_2,Competitor Hotel 2,129.1,12,4.4
2022-01-09,PROP004,COMP_3,Competitor Hotel 3,109.59,2,4.4
2022-01-09,PROP004,COMP_4,Competitor Hotel 4,106.94,25,3.8
2022-01-09,PROP005,COMP_1,Competitor Hotel 1,66.46,26,2.7
2022-01-09,PROP005,COMP_2,Competitor Hotel 2,87.48,11,4.5
2022-01-09,PROP005,COMP_3,Competitor Hotel 3,90.38,23,4.1
2022-01-09,PROP006,COMP_1,Competitor Hotel 1,149.3,31,4.5
2022-01-09,PROP006,COMP_2,Competitor Hotel 2,108.23,2,3.5
2022-01-09,PROP006,COMP_3,Competitor Hotel 3,98.35,18,3.9
2022-01-09,PROP006,COMP_4,Competitor Hotel 4,96.62,50,3.9
2022-01-09,PROP007,COMP_1,Competitor Hotel 1,140.25,0,4.2
2022-01-09,PROP007,COMP_2,Competitor Hotel 2,38.72,1,3.7
2022-01-09,PROP007,COMP_3,Competitor Hotel 3,84.51,30,4.3
2022-01-09,PROP007,COMP_4,Competitor Hotel 4,120.75,5,4.0
2022-01-09,PROP008,COMP_1,Competitor Hotel 1,131.2,14,4.9
2022-01-09,PROP008,COMP_2,Competitor Hotel 2,82.59,43,4.0
2022-01-09,PROP008,COMP_3,Competitor Hotel 3,78.51,15,4.3
2022-01-09,PROP008,COMP_4,Competitor Hotel 4,85.88,10,4.3
2022-01-09,PROP009,COMP_1,Competitor Hotel 1,58.47,42,4.3
2022-01-09,PROP009,COMP_2,Competitor Hotel 2,24.3,26,3.8
2022-01-09,PROP009,COMP_3,Competitor Hotel 3,90.89,30,3.7
2022-01-09,PROP010,COMP_1,Competitor Hotel 1,91.69,40,4.2
2022-01-09,PROP010,COMP_2,Competitor Hotel 2,133.9,26,3.9
2022-01-09,PROP010,COMP_3,Competitor Hotel 3,101.23,0,3.9
2022-01-09,PROP010,COMP_4,Competitor Hotel 4,100.07,31,4.3
2022-01-10,PROP001,COMP_1,Competitor Hotel 1,112.19,32,4.2
